"Symbol";"Value";"Unit";
"TraceParts.PartNumber";"32-07102009-082331";"";
"REFERENCE";"A 10";"";
"NOTE";"Unstressed";"";
"TraceParts.PartVersion";"1.4.9";"";
"TraceParts.InstanceId";"32-07102009-0823319U0O6QR71KP8RZ68P5OWBW471";"";
"TraceParts.PartTitle";"A   Seeger-Rings for shafts DIN 471";"";
"SUPPLIER";"SEEGER-ORBIS";"";
"DESIGN";"A   Seeger-Rings for shafts DIN 471";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartLanguage";"en";"";
"OMNICLASS23";"23.13.23.11.13.25";"";
